[github.com/flipped-aurora/gin-vue-admin/server]2022/05/19 - 17:00:24.231	[35mdebug[0m	C:/Users/daniel_zhang/Documents/GitHubCom/gin-vue-admin/server/utils/directory.go:44	create directoryautocode_template\subcontract\sysUsers\api_enter
[github.com/flipped-aurora/gin-vue-admin/server]2022/05/19 - 17:00:24.232	[35mdebug[0m	C:/Users/daniel_zhang/Documents/GitHubCom/gin-vue-admin/server/utils/directory.go:44	create directoryautocode_template\subcontract\sysUsers\router_enter
[github.com/flipped-aurora/gin-vue-admin/server]2022/05/19 - 17:00:24.232	[35mdebug[0m	C:/Users/daniel_zhang/Documents/GitHubCom/gin-vue-admin/server/utils/directory.go:44	create directoryautocode_template\subcontract\sysUsers\service_enter
[github.com/flipped-aurora/gin-vue-admin/server]2022/05/19 - 17:00:24.232	[35mdebug[0m	C:/Users/daniel_zhang/Documents/GitHubCom/gin-vue-admin/server/utils/directory.go:44	create directoryautocode_template\web\sysUsers\api
[github.com/flipped-aurora/gin-vue-admin/server]2022/05/19 - 17:00:24.233	[35mdebug[0m	C:/Users/daniel_zhang/Documents/GitHubCom/gin-vue-admin/server/utils/directory.go:44	create directoryautocode_template\web\sysUsers\form
[github.com/flipped-aurora/gin-vue-admin/server]2022/05/19 - 17:00:24.233	[35mdebug[0m	C:/Users/daniel_zhang/Documents/GitHubCom/gin-vue-admin/server/utils/directory.go:44	create directoryautocode_template\web\sysUsers\table
[github.com/flipped-aurora/gin-vue-admin/server]2022/05/19 - 17:05:54.218	[35mdebug[0m	C:/Users/daniel_zhang/Documents/GitHubCom/gin-vue-admin/server/utils/directory.go:44	create directoryautocode_template\server\sysUsers\api
[github.com/flipped-aurora/gin-vue-admin/server]2022/05/19 - 17:05:54.219	[35mdebug[0m	C:/Users/daniel_zhang/Documents/GitHubCom/gin-vue-admin/server/utils/directory.go:44	create directoryautocode_template\server\sysUsers\model
[github.com/flipped-aurora/gin-vue-admin/server]2022/05/19 - 17:05:54.219	[35mdebug[0m	C:/Users/daniel_zhang/Documents/GitHubCom/gin-vue-admin/server/utils/directory.go:44	create directoryautocode_template\server\sysUsers\request
[github.com/flipped-aurora/gin-vue-admin/server]2022/05/19 - 17:05:54.219	[35mdebug[0m	C:/Users/daniel_zhang/Documents/GitHubCom/gin-vue-admin/server/utils/directory.go:44	create directoryautocode_template\server\sysUsers\router
[github.com/flipped-aurora/gin-vue-admin/server]2022/05/19 - 17:05:54.219	[35mdebug[0m	C:/Users/daniel_zhang/Documents/GitHubCom/gin-vue-admin/server/utils/directory.go:44	create directoryautocode_template\server\sysUsers\service
[github.com/flipped-aurora/gin-vue-admin/server]2022/05/19 - 17:05:54.219	[35mdebug[0m	C:/Users/daniel_zhang/Documents/GitHubCom/gin-vue-admin/server/utils/directory.go:44	create directoryautocode_template\subcontract\sysUsers\api_enter
[github.com/flipped-aurora/gin-vue-admin/server]2022/05/19 - 17:05:54.219	[35mdebug[0m	C:/Users/daniel_zhang/Documents/GitHubCom/gin-vue-admin/server/utils/directory.go:44	create directoryautocode_template\subcontract\sysUsers\router_enter
[github.com/flipped-aurora/gin-vue-admin/server]2022/05/19 - 17:05:54.219	[35mdebug[0m	C:/Users/daniel_zhang/Documents/GitHubCom/gin-vue-admin/server/utils/directory.go:44	create directoryautocode_template\subcontract\sysUsers\service_enter
[github.com/flipped-aurora/gin-vue-admin/server]2022/05/19 - 17:05:54.222	[35mdebug[0m	C:/Users/daniel_zhang/Documents/GitHubCom/gin-vue-admin/server/utils/directory.go:44	create directoryautocode_template\web\sysUsers\api
[github.com/flipped-aurora/gin-vue-admin/server]2022/05/19 - 17:05:54.222	[35mdebug[0m	C:/Users/daniel_zhang/Documents/GitHubCom/gin-vue-admin/server/utils/directory.go:44	create directoryautocode_template\web\sysUsers\form
[github.com/flipped-aurora/gin-vue-admin/server]2022/05/19 - 17:05:54.222	[35mdebug[0m	C:/Users/daniel_zhang/Documents/GitHubCom/gin-vue-admin/server/utils/directory.go:44	create directoryautocode_template\web\sysUsers\table
